                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Bryce Teodosio                   cf  26  .203  .248  .304 138  28   7   2   1  12   7   4   5  47   7   1 
Ryan Vilade                      rf  26  .077  .200  .077  13   1   0   0   0   1   0   0   2   5   0   0 
Ryan Vilade                      rf  26  .077  .200  .077  13   1   0   0   0   1   0   0   2   5   0   0 
Will Wagner*                     3b  26  .225  .324  .279 129  29   7   0   0  15   7   2  17  28   1   0 
Will Wagner*                     2b  26  .133  .235  .133  15   2   0   0   0   2   0   0   2   2   0   0 
Will Wagner*                     3b  26  .237  .336  .298 114  27   7   0   0  13   7   2  15  26   1   0 
Drew Waters#                     lf  26  .243  .288  .316 206  50   6   3   1  21  14   2  11  60   5   3 
Shay Whitcomb                    2b  26  .125  .125  .219  32   4   0   0   1   4   1   0   0  10   0   0 
Joey Wiemer                      rf  26  .236  .279  .436  55  13   2   0   3   7  12   2   2  23   0   0 
Will Wilson                      3b  26  .192  .267  .244  78  15   4   0   0   7   2   1   7  34   2   0 
Jack Winkler                     2b  26  .250  .250  .375  16   4   2   0   0   2   0   0   0   4   1   0 
Brett Wisely*                    2b  26  .000  .333  .000   6   0   0   0   0   0   0   0   3   4   0   0 
Brett Wisely*                    2b  26  .208  .269  .354  48  10   4   0   1   5  10   0   4  10   1   1 
Jose Barrero                     ss  27  .138  .194  .276  29   4   1   0   1   4   3   1   1   9   0   0 
Vidal Brujan#                    ss  27  .268  .362  .317  41  11   2   0   0   8   5   1   5   9   0   0 
Vidal Brujan#                    3b  27  .222  .234  .289  45  10   3   0   0   6   3   0   1  12   2   1 
Vidal Brujan#                    cf  27 1.000 1.000 1.000   1   1   0   0   0   0   0   0   0   0   0   0 
Gustavo Campero#                 rf  27  .172  .273  .345  58  10   1   0   3   9   8   3   5  14   4   1 
Isaac Collins#                   lf  27  .263  .368  .411 372  98  22   3   9  56  54   6  57  93  16   7 
Logan Davidson#                  1b  27  .167  .222  .286  42   7   2   0   1   3   4   0   3  22   0   0 
Logan Davidson#                  1b  27  .182  .182  .364  22   4   1   0   1   2   2   0   0  10   0   0 
Logan Davidson#                  1b  27  .150  .261  .200  20   3   1   0   0   1   2   0   3  12   0   0 
Oliver Dunn*                     3b  27  .167  .205  .222  36   6   2   0   0   4   6   0   2  11   1   0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Oscar Gonzalez                   lf  27  .220  .246  .237  59  13   1   0   0   2   4   0   2  13   0   1 
Matt Gorski                      1b  27  .195  .214  .390  41   8   0   1   2   2   4   0   1  16   0   1 
Maverick Handley                 c   27  .073  .133  .073  41   3   0   0   0   2   3   1   2  18   0   0 
Sam Huff                         c   27  .208  .259  .340  53  11   1   0   2   5   4   0   4  25   0   0 
Jacob Hurtubise*                 lf  27  .083  .267  .083  12   1   0   0   0   3   0   2   1   6   0   0 
Greg Jones#                      rf  27  .000  .000  .000   2   0   0   0   0   0   0   0   0   2   1   0 
Jahmai Jones                     dh  27  .287  .387  .550 129  37  11   1   7  21  23   3  18  32   2   0 
Carter Kieboom                   1b  27  .250  .250  .250   8   2   0   0   0   0   1   0   0   1   0   0 
Christian Koss                   2b  27  .264  .309  .368 174  46   9   0   3  25  23   3   9  45   4   1 
Ryan Kreidler                    cf  27  .105  .190  .105  38   4   0   0   0   5   0   0   4  19   2   0 
Carson McCusker                  rf  27  .172  .200  .172  29   5   0   0   0   0   1   0   1  16   0   1 
Drew Millas#                     c   27  .306  .358  .449  49  15   5   1   0   6   7   0   4   7   2   0 
Kameron Misner*                  cf  27  .213  .273  .345 197  42   9   1   5  27  22   1  16  69   8   1 
John Rave*                       lf  27  .196  .283  .307 153  30   5   0   4  18  14   1  18  46   7   2 
Will Robertson*                  lf  27  .129  .173  .143  70   9   1   0   0   2   9   2   2  27   0   0 
Will Robertson*                  lf  27  .133  .159  .150  60   8   1   0   0   2   8   1   1  20   0   0 
Will Robertson*                  lf  27  .100  .250  .100  10   1   0   0   0   0   1   1   1   7   0   0 
Ben Rortvedt*                    c   27  .224  .309  .327  49  11   2   0   1   7   4   2   4   9   0   0 
Ben Rortvedt*                    c   27  .095  .186  .111  63   6   1   0   0   2   6   0   7  14   0   0 
Jesus Sanchez*                   lf  27  .199  .269  .342 146  29   9   0   4  21  12   1  13  40   4   1 
Jesus Sanchez*                   rf  27  .256  .320  .420 305  78  12   4  10  40  36   1  29  70   9   2 
Tyler Tolbert                    cf  27  .280  .321  .380  50  14   2   0   1  19   6   3   1  11  21   2 
Taylor Trammell*                 cf  27  .197  .296  .333 117  23   7   0   3  15  12   0  17  41   3   2 
Andrew Vaughn                    1b  27  .189  .218  .314 185  35   8   0   5   9  19   0   7  43   0   0 
Andrew Vaughn                    1b  27  .308  .375  .493 221  68  14   0   9  26  46   3  24  37   0   0 
Sergio Alcantara#                3b  28  .000  .000  .000   4   0   0   0   0   0   0   0   0   2   0   0 
CJ Alexander*                    1b  28  .176  .176  .176  17   3   0   0   0   0   0   0   0   8   0   0 
Luken Baker                      dh  28  .235  .366  .324  34   8   3   0   0   3   2   0   7  10   0   0 
David Banuelos                   c   28  .000  .500  .000   1   0   0   0   0   0   0   1   0   1   0   0 
Jose Caballero                   ss  28  .266  .372  .456  79  21   6   0   3  15   9   0  14  18  15   3 
Jose Caballero                   ss  28  .226  .327  .311 235  53  12   1   2  37  27   3  33  80  34   8 
Daz Cameron                      rf  28  .195  .214  .293  41   8   1   0   1   7   3   0   1  13   1   0 
Vinny Capra                      3b  28  .125  .157  .177  96  12   2   0   1  10   6   1   3  25   2   0 
Vinny Capra                      ss  28  .190  .205  .238  42   8   2   0   0   4   2   0   1  10   1   0 
Vinny Capra                      3b  28  .074  .121  .130  54   4   0   0   1   6   4   1   2  15   1   0 
Willi Castro#                    rf  28  .170  .245  .240 100  17   2   1   1  10   6   2   8  27   1   1 
Willi Castro#                    lf  28  .245  .335  .407 302  74  15   2  10  48  27   9  32  84   9   3 
Carlos Cortes*                   rf  28  .309  .323  .543  94  29   8   1   4  11  14   0   3  20   0   0 
Blaine Crim                      1b  28  .200  .270  .462  65  13   2   0   5  10  12   1   6  28   0   0 
Blaine Crim                      1b  28  .000  .154  .000  11   0   0   0   0   1   0   1   1   6   0   0 
Blaine Crim                      1b  28  .241  .295  .556  54  13   2   0   5   9  12   0   5  22   0   0 
Justin Dean                      cf  28  .000  .000  .000   2   0   0   0   0   0   0   0   0   1   1   0 
Cam Devanney                     3b  28  .139  .184  .167  36   5   1   0   0   1   1   0   2  21   0   1 
Rafael Devers*                   dh  28  .236  .347  .460 335  79  15   0  20  52  51   2  56 116   0   0 
Rafael Devers*                   dh  28  .272  .401  .504 272  74  18   0  15  47  58   4  56  76   1   1 
Nate Eaton                       rf  28  .296  .348  .383  81  24   4   0   1  16   4   1   6  19   9   2 
Tristin English                  1b  28  .091  .130  .136  22   2   1   0   0   0   1   0   1   8   0   0 
Hunter Feduccia*                 c   28  .148  .267  .205  88  13   5   0   0   5   8   0  15  29   1   0 
Hunter Feduccia*                 1b  28  .000  .333  .000   2   0   0   0   0   0   0   0   1   1   0   0 
Hunter Feduccia*                 c   28  .151  .265  .209  86  13   5   0   0   5   8   0  14  28   1   0 
Nick Fortes                      c   28  .240  .288  .349 129  31   6   1   2  11  10   2   7  22   0   0 
Nick Fortes                      c   28  .213  .307  .348  89  19   3   0   3   8  11   5   7  25   1   0 
Ke'Bryan Hayes                   3b  28  .234  .315  .342 158  37   6   1   3  16  13   1  18  30   2   1 
Ke'Bryan Hayes                   3b  28  .236  .279  .290 369  87  10   2   2  34  36   4  18  81  10   2 
Keston Hiura                     1b  28  .222  .333  .278  18   4   1   0   0   3   1   3   0   7   0   0 
Troy Johnston*                   1b  28  .277  .331  .420 112  31   2   1   4  12  13   1   8  26   2   2 
Connor Kaiser                    2b  28  .111  .158  .167  18   2   1   0   0   1   2   0   1   5   0   0 
DaShawn Keirsey*                 rf  28  .107  .138  .179  84   9   0   0   2  11   6   1   2  33  10   3 
Brandon Lockridge                lf  28  .231  .276  .299 134  31   7   1   0  17  11   1   8  36  10   1 
Brandon Lockridge                lf  28  .216  .258  .261  88  19   4   0   0   9   5   1   4  24   8   1 
Brandon Lockridge                rf  28  .261  .308  .370  46  12   3   1   0   8   6   0   4  12   2   0 
Willie MacIver                   c   28  .186  .252  .324 102  19   5   0   3   7   9   2   7  27   3   0 
Nick Maton*                      dh  28  .167  .286  .315  54   9   2   0   2   5   4   0   9  19   0   1 
Owen Miller                      2b  28  .143  .294  .143  14   2   0   0   0   0   1   1   2   4   1   0 
Coco Montes                      2b  28  .200  .200  .200  10   2   0   0   0   0   1   0   0   3   0   0 
Josh Naylor*                     1b  28  .299  .341  .490 194  58  10   0   9  32  33   2  11  34  19   0 
Josh Naylor*                     1b  28  .292  .360  .447 349 102  19   1  11  49  59   2  37  49  11   2 
James Outman*                    cf  28  .103  .205  .282  39   4   1   0   2   8   4   1   4  18   0   0 
James Outman*                    cf  28  .147  .221  .337  95  14   4   1   4  11   7   1   8  45   1   0 
Yohel Pozo                       c   28  .231  .262  .375 160  37   8   0   5  16  19   0   7  22   0   0 
Ali Sanchez                      c   28  .000  .000  .000   2   0   0   0   0   0   0   0   0   1   0   0 
Ali Sanchez                      c   28  .238  .238  .333  21   5   2   0   0   2   0   0   0   5   0   0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Hayden Senger                    c   28  .181  .221  .194  72  13   1   0   0   8   4   1   3  22   0   0 
Cal Stevenson*                   cf  28  .250  .250  .250   8   2   0   0   0   0   1   0   0   2   0   0 
C.J. Stubbs                      c   28  .000  .000  .000   3   0   0   0   0   0   0   0   0   0   0   0 
Terrin Vavra*                    2b  28  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
David Villar                     1b  28  .200  .360  .250  20   4   1   0   0   4   1   1   4   5   0   0 
Luke Williams                    ss  28  .129  .176  .194  31   4   2   0   0   5   5   1   1   9   5   0 
Drew Avans*                      lf  29  .118  .111  .118  17   2   0   0   0   1   1   0   0   6   1   0 
Drew Avans*                      lf  29  .000  .000  .000   2   0   0   0   0   0   1   0   0   1   0   0 
Drew Avans*                      lf  29  .133  .133  .133  15   2   0   0   0   1   0   0   0   5   1   0 
Jose Azocar                      lf  29  .263  .333  .263  19   5   0   0   0   5   1   0   2   1   1   0 
Jose Azocar                      rf  29  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Jose Azocar                      lf  29  .278  .350  .278  18   5   0   0   0   5   1   0   2   1   1   0 
Sean Bouchard                    rf  29  .167  .247  .242  66  11   0   1   1   7   7   0   7  27   1   1 
Jonah Bride                      3b  29  .208  .275  .236  72  15   2   0   0   4   3   1   6  24   0   0 
Jonah Bride                      dh  29  .100  .200  .100  40   4   0   0   0   3   2   0   5  15   0   0 
Trenton Brooks*                  dh  29  .146  .186  .268  41   6   2   0   1   5   2   0   2  13   0   0 
Kody Clemens*                    lf  29  .000  .143  .000   6   0   0   0   0   0   0   0   1   0   0   0 
Kody Clemens*                    1b  29  .216  .284  .442 342  74  12   4  19  46  52   5  28  93   5   1 
Mickey Gasper#                   c   29  .158  .257  .232  95  15   1   0   2  15  11   3  10  20   2   0 
Tristan Gray*                    2b  29  .231  .282  .410  78  18   5   0   3   9   9   0   6  19   0   0 
Michael Helman                   cf  29  .232  .290  .455  99  23   5   1   5  18  20   1   7  21   4   0 
Brewer Hicklen                   cf  29  .667  .750  .667   3   2   0   0   0   2   0   0   1   1   1   0 
Derek Hill                       cf  29  .286  .375  .286   7   2   0   0   0   0   1   1   0   2   0   0 
Derek Hill                       cf  29  .213  .275  .331 127  27   6   0   3  19  10   2   9  46   7   0 
Alex Jackson                     c   29  .220  .290  .473  91  20   8   0   5  17   8   4   5  37   0   0 
Bryce Johnson#                   lf  29  .342  .383  .434  76  26   4   0   1   9   8   2   3  19   4   1 
Daniel Johnson*                  cf  29  .189  .246  .302  53  10   3   0   1  13   1   0   4  13   2   1 
Daniel Johnson*                  cf  29  .172  .226  .345  29   5   2   0   1   5   1   0   2   8   1   0 
Daniel Johnson*                  cf  29  .208  .269  .250  24   5   1   0   0   8   0   0   2   5   1   1 
Corey Julks                      lf  29  .250  .231  .417  12   3   2   0   0   2   1   0   0   3   0   0 
Ha-Seong Kim                     ss  29  .253  .316  .368  87  22   1   0   3  14  12   1   8  16   0   1 
Ha-Seong Kim                     ss  29  .214  .290  .321  84  18   3   0   2   5   5   1   8  23   6   1 
Nathaniel Lowe*                  1b  29  .280  .370  .420 100  28   6   1   2  14  16   1  15  29   0   0 
Nathaniel Lowe*                  1b  29  .216  .292  .373 440  95  17   2  16  50  68   1  47 130   1   0 
Jake Mangum#                     lf  29  .296  .330  .368 405 120  18   1   3  37  40   2  19  64  27   6 
Miles Mastrobuoni*               3b  29  .250  .324  .296 152  38   4   0   1  20  12   0  17  29   6   3 
Ryan Noda*                       1b  29  .106  .276  .170  47   5   0   0   1   3   2   0  11  25   1   0 
Ryan Noda*                       rf  29  .154  .214  .154  13   2   0   0   0   0   1   0   1   6   1   0 
Ryan Noda*                       1b  29  .088  .295  .176  34   3   0   0   1   3   1   0  10  19   0   0 
Joshua Palacios*                 rf  29  .203  .292  .305 128  26   4   0   3  11   9   4  12  36   0   0 
Jhonny Pereda                    c   29  .246  .325  .333  69  17   6   0   0   4   4   0   8  21   0   0 
Jhonny Pereda                    c   29  .345  .387  .483  29  10   4   0   0   1   1   0   2   8   0   0 
Jhonny Pereda                    c   29  .175  .283  .225  40   7   2   0   0   3   3   0   6  13   0   0 
Logan Porter                     c   29  .143  .333  .143   7   1   0   0   0   2   1   1   1   2   0   0 
Amed Rosario                     3b  29  .303  .303  .485  33  10   3   0   1   1   5   0   0   9   0   0 
Amed Rosario                     3b  29  .270  .310  .426 148  40   8   0   5  19  18   2   7  22   1   0 
Alan Trejo                       ss  29  .175  .190  .225  40   7   2   0   0   3   1   0   1   7   0   0 
Jared Young*                     dh  29  .186  .234  .488  43   8   1   0   4   5   6   1   2  16   0   0 
Miguel Andujar                   dh  30  .359  .400  .544 103  37   7   0   4  14  17   1   6  19   0   0 
Miguel Andujar                   3b  30  .298  .329  .436 218  65  10   1   6  22  27   0  11  30   1   0 
Orlando Arcia                    ss  30  .194  .219  .226  31   6   1   0   0   1   1   0   1   8   0   0 
Orlando Arcia                    3b  30  .203  .242  .302 172  35   6   1   3  12  12   0   9  39   0   1 
Alex Call                        lf  30  .247  .333  .384  73  18   4   0   2  13   5   0  10  19   1   0 
Alex Call                        rf  30  .274  .371  .386 197  54   9   2   3  30  26   6  26  36   1   1 
Carlos Correa                    3b  30  .290  .355  .430 200  58  10   0   6  23  21   1  19  45   0   0 
Carlos Correa                    ss  30  .267  .319  .386 337  90  19   0   7  40  31   0  26  68   0   0 
J.C. Escarra*                    c   30  .202  .296  .333  84  17   5   0   2   5  11   1  11  14   1   0 
Freddy Fermin                    c   30  .244  .278  .339 127  31   6   0   2  15  14   0   6  28   0   0 
Freddy Fermin                    c   30  .255  .309  .339 192  49   7   0   3  17  12   2  13  37   1   2 
Jake Fraley*                     rf  30  .304  .333  .348  23   7   1   0   0   2   0   0   1   8   0   1 
Jake Fraley*                     rf  30  .232  .332  .387 168  39   8   0   6  29  23   1  24  41   4   2 
